"fips","state","mean_no2","mean_ozone"
13077,"GA",16.17779839,40.04357958
13079,"GA",8.462387414,41.49267054
13081,"GA",14.33664048,40.31734889
13083,"GA",8.779961851,42.25608021
13085,"GA",10.24990018,41.78549624
13087,"GA",10.06495,38.81078286
13089,"GA",28.25039379,40.77442807
13091,"GA",8.607709231,40.7521678
13093,"GA",11.76885746,40.644538
13095,"GA",15.24304729,40.42050395
13097,"GA",18.14874553,40.16067291
13099,"GA",7.386704223,39.61709249
13101,"GA",11.21296621,38.61101123
13103,"GA",9.949329714,38.84326617
13105,"GA",9.082846256,41.44554866
13107,"GA",9.228620312,40.70204501
13109,"GA",11.80670625,40.43402657
13111,"GA",9.338981386,43.29997531
13113,"GA",18.42630265,41.35398351
13115,"GA",9.019700375,40.38703316
13117,"GA",18.70964039,41.0530163
13119,"GA",13.58297273,42.03997408
13121,"GA",30.38829512,40.17458234
13123,"GA",8.939184489,43.60583612
13125,"GA",6.670304386,40.42240469
13127,"GA",16.14502826,39.11156572
13129,"GA",10.71688603,41.369481
13131,"GA",9.442421249,38.51207547
13133,"GA",11.79609764,41.47595725
13135,"GA",23.97637466,40.94643202
13137,"GA",12.36411898,41.4251892
13139,"GA",17.596262,41.48090461
13141,"GA",7.375958848,41.41568663
13143,"GA",6.701940555,40.37874126
13145,"GA",9.266243292,40.5488264
13147,"GA",13.08833178,42.38456846
13149,"GA",10.44238802,40.44995489
13151,"GA",13.83319147,41.82953797
13153,"GA",15.46312835,41.18542323
13155,"GA",10.41032109,40.38793429
13157,"GA",16.32107409,41.740948
13159,"GA",8.582747444,41.87522712
13161,"GA",8.407177131,39.96831349
13163,"GA",7.467630204,40.26284337
13165,"GA",7.709695353,39.6122129
13167,"GA",6.44276385,40.93219578
13169,"GA",8.693152874,41.79980035
13171,"GA",9.94820436,42.24028725
13173,"GA",10.51678705,39.05020163
13175,"GA",9.920616676,41.19851054
13177,"GA",9.159169307,40.21980055
13179,"GA",12.42576769,39.40920248
13181,"GA",7.543048141,40.10756096
13183,"GA",10.61131735,38.8557291
13185,"GA",14.06082082,39.23118929
13187,"GA",16.01339127,41.69617028
13189,"GA",8.620759197,41.06172962
13191,"GA",13.11468386,38.92075485
13193,"GA",8.610580578,40.76310981
13195,"GA",12.50534752,41.32456191
13197,"GA",7.829017333,40.42093807
13199,"GA",9.28228247,41.71146493
13201,"GA",8.172764366,39.08365319
13205,"GA",9.481628558,39.6897142
13207,"GA",11.37303877,40.90639257
13209,"GA",8.448808436,40.62908901
13211,"GA",11.64629218,41.39330022
13213,"GA",9.953005349,42.7673255
13215,"GA",18.11371617,39.91764035
13217,"GA",11.32616637,41.34231758
13219,"GA",12.54635361,41.5898401
13221,"GA",8.801494353,41.00443327
13223,"GA",8.582357178,41.54785146
13225,"GA",12.18308703,41.51911992
13227,"GA",10.49282831,42.15910307
13229,"GA",10.26432084,38.26044499
13231,"GA",9.357033287,42.4528437
13233,"GA",6.014851301,40.74123382
13237,"GA",11.25405741,41.39517134
13239,"GA",7.795613937,39.75131941
13241,"GA",12.00778714,40.99257784
13243,"GA",7.032132651,39.69035581
13245,"GA",11.0942477,41.5951402
13247,"GA",11.48492598,41.84322672
13249,"GA",7.108460114,40.34864879
13251,"GA",8.812040188,40.02488454
13253,"GA",8.540729051,38.83439125
13255,"GA",15.82499853,40.70615664
13257,"GA",11.47974058,41.83426593
13259,"GA",8.455350083,40.32617318
13261,"GA",8.756865996,40.22363453
13263,"GA",8.821679561,40.59687836
13265,"GA",7.855009344,40.6314309
13267,"GA",9.260709128,40.26240612
13269,"GA",10.87916591,40.83490848
13271,"GA",8.67228593,40.60506778
13273,"GA",8.816311598,39.9180065
13275,"GA",11.14343487,38.91827512
13277,"GA",13.32384152,40.13190471
13279,"GA",10.48486827,40.67427258
13281,"GA",8.482514184,42.163474
13283,"GA",8.883761293,40.70323418
13285,"GA",11.82064183,40.73306842
13287,"GA",10.95500242,40.37799751
13289,"GA",11.22852222,41.55367487
13291,"GA",13.26020803,41.76369559
13293,"GA",7.965431684,41.984368
13295,"GA",8.547460924,42.35035079
13297,"GA",12.21217235,41.694625
13299,"GA",14.28034249,39.64283501
13301,"GA",7.586438533,40.63019217
13303,"GA",7.97833417,41.1708041
13305,"GA",12.4759684,39.68721118
13307,"GA",7.658663841,40.29930502
13309,"GA",7.691033056,40.46152953
13311,"GA",9.356365893,41.81794954
13313,"GA",12.56052578,41.60180459
13315,"GA",8.954998904,40.56859329
13317,"GA",7.665187578,40.48564299
13319,"GA",9.583285464,41.53597123
13321,"GA",8.677121676,40.17796894
16001,"ID",23.90131367,40.65110234
16003,"ID",12.49588542,42.14874365
16005,"ID",19.15748199,44.21500779
16007,"ID",15.26612826,44.63029522
16009,"ID",9.270375308,40.44501398
16011,"ID",17.29094772,42.41908339
16013,"ID",15.45001196,43.751507
16015,"ID",13.60764252,42.84783305
16017,"ID",10.25111037,39.41163091
16019,"ID",16.74322001,43.78035955
16021,"ID",8.520988724,38.68466011
16023,"ID",13.5812558,45.87384548
16025,"ID",14.42390817,46.25069612
16027,"ID",23.26736842,40.33287029
16029,"ID",15.44835373,45.53461166
16031,"ID",16.09603745,44.52634753
16033,"ID",10.73197491,46.45759389
16035,"ID",9.252822241,38.9461269
16037,"ID",13.6110182,46.18600566
16039,"ID",14.84590242,43.67631065
16041,"ID",16.41614208,45.31139909
16043,"ID",12.99544861,41.49319469
16045,"ID",16.6243162,42.13942291
16047,"ID",15.84379555,44.12665755
16049,"ID",12.22868822,41.90288342
16051,"ID",15.51865907,45.87981441
16053,"ID",20.05333053,44.47013773
16055,"ID",10.16598436,39.71088527
16057,"ID",10.59176021,41.16959254
16059,"ID",13.08369636,40.47930884
16061,"ID",11.9203062,39.70975365
16063,"ID",13.29620207,44.91128793
16065,"ID",14.88335067,43.62680221
16067,"ID",19.35548809,44.50434498
16069,"ID",11.40418773,39.55129223
16071,"ID",15.07524566,45.45440757
16073,"ID",13.65138463,42.52228908
16075,"ID",19.5210935,41.34621798
16077,"ID",15.15482078,45.69432876
16079,"ID",8.971529814,40.64680583
16081,"ID",10.412244,46.77035745
16083,"ID",16.65919688,44.02033369
16085,"ID",14.29403474,40.54999063
16087,"ID",13.19550296,42.25037481
17001,"IL",11.80452946,38.30624445
17003,"IL",11.78149336,40.37798847
17005,"IL",13.84474896,40.28780436
17007,"IL",21.474875,37.2066007
17009,"IL",9.905631362,38.41815096
17011,"IL",17.65946508,37.24431575
17013,"IL",13.06775219,39.23167954
17015,"IL",12.15995857,38.45781317
17017,"IL",13.51899837,38.93271733
17019,"IL",19.73577093,37.48744594
17021,"IL",16.49619248,38.66232029
17023,"IL",13.7768736,37.44376084
17025,"IL",12.00268383,38.48317359
17027,"IL",17.00589321,40.33273931
17029,"IL",15.35768815,38.0397123
17031,"IL",37.45576599,33.96607103
17033,"IL",12.13618248,37.95591012
17035,"IL",14.76941566,38.30467433
17037,"IL",22.02637654,36.60601167
17039,"IL",17.49534039,38.59185828
17041,"IL",17.55840946,38.0349904
17043,"IL",36.08646862,34.6501195
17045,"IL",16.59466451,37.81725028
17047,"IL",12.61275574,39.21904545
17049,"IL",14.03502367,38.1697467
17051,"IL",13.00077324,39.15689834
17053,"IL",17.7825862,37.66030891
17055,"IL",13.86505208,40.29542492
17057,"IL",10.82383419,37.45968949
17059,"IL",11.86441295,40.31511177
17061,"IL",12.44846622,39.69812162
17063,"IL",18.94123167,37.07673632
17065,"IL",11.84728126,40.15448432
17067,"IL",8.98115525,38.0027899
17069,"IL",8.50616028,40.2854551
17071,"IL",10.62979753,37.3579323
17073,"IL",13.61224841,36.90156695
17075,"IL",18.99524782,37.10781701
17077,"IL",11.02318218,40.26475226
17079,"IL",13.21036279,38.15543156
17081,"IL",13.04979134,39.64268985
17083,"IL",12.94639319,39.03650725
17085,"IL",11.12590006,38.46842443
17087,"IL",9.379103714,40.1442324
17089,"IL",30.99179827,35.84333044
17091,"IL",20.43268551,36.82179931
17093,"IL",22.55259712,36.08058581
17095,"IL",12.85613952,37.19269649
17097,"IL",27.2534763,35.8306474
17099,"IL",20.80701138,36.95594131
17101,"IL",11.50990149,39.11709732
17103,"IL",19.3866861,37.10339845
17105,"IL",17.48083968,37.59609283
17107,"IL",18.6807368,38.34845496
17109,"IL",12.33679332,37.78052495
17111,"IL",24.93840288,36.78288466
17113,"IL",20.28408307,38.6277504
17115,"IL",19.52624901,37.92495405
17117,"IL",13.61724615,39.70804683
17119,"IL",19.7162277,38.98211442
17121,"IL",13.04175218,39.37253131
17123,"IL",16.86003425,38.40108671
17125,"IL",15.02052125,37.78261744
17127,"IL",10.96686514,40.49892606
17129,"IL",15.94355526,37.92127684
17131,"IL",11.60478298,36.68895192
17133,"IL",13.49822245,39.57880891
17135,"IL",15.52264109,39.83516902
17137,"IL",16.2730962,39.82750264
17139,"IL",16.08862244,38.23871858
17141,"IL",19.0147222,37.23854729
